type,lat,lon
2,-34.60527,-58.37583
2,-34.60208,-58.44224
2,-34.60174,-58.49496
2,-34.60168,-58.38705
2,-34.60022,-58.43929
2,-34.59767,-58.43542
2,-34.95362,-57.96509
2,-34.60564,-58.45439
2,-34.50784,-58.72496
2,-34.88565,-58.17589
2,-34.89297,-57.94821
2,-34.56060,-58.58480
2,-34.86829,-58.06062
2,-34.60284,-58.72390
2,-34.50460,-59.06770
2,-34.95261,-57.93382
2,-34.82870,-58.18730
2,-34.56960,-59.10170
2,-34.73837,-58.40896
2,-34.45611,-58.91258
2,-34.68394,-58.72976
2,-34.96070,-58.05900
5,-34.58183,-58.42070
2,-34.62699,-58.42660
2,-34.63620,-58.44943
2,-34.62978,-58.40079
2,-34.59087,-58.49852
2,-34.54440,-58.74170
2,-34.61676,-58.70600
2,-34.64634,-58.56455
2,-34.61717,-58.52940
2,-34.61037,-58.37498
2,-34.60495,-58.56468
2,-34.60297,-58.46434
2,-34.59847,-58.37263
2,-34.59649,-58.42022
2,-34.53275,-58.70220
2,-34.45009,-58.55176
2,-34.95479,-57.92649
2,-34.65320,-58.34609
2,-34.78288,-58.83246
2,-34.92285,-57.92516
2,-34.98272,-58.08398
2,-34.51921,-58.51598
2,-34.86609,-58.04227
2,-34.58569,-58.60549
2,-34.90230,-57.94930
2,-34.71496,-58.46398
2,-34.41994,-58.77646
2,-34.59680,-58.54780
2,-34.46461,-58.54924
2,-34.67975,-58.72881
2,-34.46530,-58.78790
2,-34.70163,-58.28181
2,-34.63549,-58.48735
2,-34.63076,-58.46989
2,-34.62542,-58.41567
2,-34.61836,-58.42862
2,-34.61327,-58.40197
2,-34.61251,-58.39034
2,-34.60842,-58.39769
2,-34.60331,-58.41970
2,-34.60110,-58.39906
2,-34.52312,-58.55563
2,-34.55720,-59.11820
2,-34.90930,-57.94367
2,-34.74461,-58.38324
2,-34.64618,-58.59397
2,-34.56649,-58.54359
2,-34.70933,-58.37514
2,-34.76534,-58.19773
2,-34.58460,-58.45363
2,-34.56386,-58.45492
2,-34.56353,-58.46842
2,-34.45632,-58.91328
2,-34.44894,-58.55000
2,-34.60757,-58.96475
2,-34.66417,-58.73754
2,-34.57074,-58.44535
2,-34.72405,-58.78949
2,-34.50445,-58.53210
2,-34.72799,-58.44616
2,-34.58866,-58.37220
2,-34.52961,-58.52233
2,-34.55482,-58.49057
2,-34.56610,-59.11370
2,-34.87699,-57.85690
2,-34.56260,-58.61757
2,-34.92325,-57.94183
2,-34.61741,-58.41678
2,-34.56485,-59.11308
2,-34.92540,-57.96030
2,-34.45170,-58.79820
2,-34.44670,-58.80060
2,-34.80150,-58.33380
2,-34.41138,-58.68820
2,-34.44141,-58.82441
2,-34.60941,-58.41607
2,-34.85829,-57.90744
2,-34.10868,-59.04467
2,-34.49050,-58.56809
2,-34.52720,-58.55020
2,-34.52838,-58.51984
2,-34.62904,-58.48179
2,-34.47842,-58.58033
2,-34.74466,-58.45493
2,-34.73407,-58.43097
2,-34.69226,-58.41423
2,-34.78003,-58.27077
2,-34.66125,-58.36649
2,-34.60160,-58.45400
2,-34.61418,-58.52482
2,-34.69234,-58.57570
2,-34.66355,-58.72714
2,-34.77184,-58.64482
2,-34.58700,-58.39893
2,-34.65234,-58.50331
2,-34.52277,-58.75282
2,-34.64619,-58.59449
2,-34.79793,-58.42478
2,-34.09531,-59.02518
2,-34.59928,-58.43779
2,-34.58902,-58.42233
2,-34.58475,-58.41471
2,-34.58383,-58.44924
2,-34.56147,-58.59603
2,-34.56095,-58.46443
5,-34.51889,-58.75179
2,-34.48561,-58.72589
2,-34.66289,-58.67493
2,-34.66125,-58.53429
2,-34.51682,-58.69873
2,-34.90472,-57.95488
2,-34.91431,-57.95322
2,-34.85684,-58.07629
2,-34.43726,-58.67311
